seller_owner_match,duplicate_transaction,recent_ownership_change,record_inconsistency,ownership_changes,previous_transactions,transaction_frequency_30d,days_since_previous_transaction,transaction_value_log,risk_score,risk_level
1,0,0,0,0,2,1,1135,18.12013752939313,0.0,LOW
1,0,0,0,0,3,1,544,14.140326356616393,11.42,LOW
0,0,0,0,0,1,0,1277,17.887028263648272,10.61,LOW
1,0,1,0,0,2,1,595,16.098987316019716,23.36,LOW
1,0,0,1,2,3,1,1496,16.607667039921605,24.44,LOW
0,0,0,0,1,3,2,271,17.467977393401153,35.8,MEDIUM
1,0,0,0,1,1,0,282,16.943427644682675,0.0,LOW
1,0,0,0,1,0,0,882,15.196970423427633,2.98,LOW
1,0,0,0,1,1,0,1204,16.660098510788863,0.0,LOW
1,0,1,0,0,1,0,215,18.05422136989808,14.45,LOW
1,0,0,0,0,0,1,754,15.023979116623096,10.97,LOW
0,0,1,0,1,4,0,335,18.330271362313376,42.77,MEDIUM
1,0,0,0,1,2,0,1106,16.42427273456542,15.76,LOW
1,0,0,0,0,4,1,842,15.523449450887718,2.44,LOW
1,0,0,0,1,2,0,982,15.01738167693092,12.55,LOW
1,0,0,0,0,0,1,403,15.754384218150898,0.0,LOW
1,0,0,0,0,0,1,433,13.849193835822454,0.0,LOW
1,0,0,0,0,6,1,960,15.543231084035334,3.15,LOW
1,0,0,0,0,1,2,529,15.710780031758826,11.68,LOW
1,0,1,1,2,1,0,1036,14.818144985976339,41.7,MEDIUM
1,0,0,0,0,3,1,231,16.822629714394797,0.0,LOW
1,0,0,0,2,2,1,452,15.759357083431674,2.84,LOW
0,1,0,0,1,1,0,152,15.30062600092413,46.97,MEDIUM
0,0,0,0,0,1,0,131,15.642132671424601,27.81,LOW
1,0,1,0,0,0,0,393,16.390618220647433,18.99,LOW
1,1,0,0,0,2,0,734,16.080543331513695,25.85,LOW
1,0,0,0,1,2,0,216,15.228927403103665,1.97,LOW
1,0,0,0,0,1,0,139,16.13821882144449,4.46,LOW
1,1,0,0,0,3,1,1316,15.944256446677118,23.77,LOW
1,0,0,0,0,1,1,773,14.746589354536306,4.6,LOW
1,0,1,0,0,1,0,1074,15.682644837142014,17.49,LOW
0,0,0,1,0,0,0,1090,16.637272097462976,39.32,MEDIUM
1,0,0,0,1,2,2,152,16.629352085886158,9.84,LOW
1,0,0,0,1,0,2,931,15.747039234356267,6.83,LOW
1,0,0,0,2,5,2,1291,16.744450074264574,15.91,LOW
1,0,1,0,0,1,0,672,14.922048953316917,8.64,LOW
1,0,0,0,1,2,0,1293,14.956113377987341,8.0,LOW
1,0,0,0,1,0,1,1419,15.723619540376951,10.14,LOW
1,0,0,0,0,1,0,820,17.64732274969585,2.4,LOW
1,0,0,0,1,0,0,152,16.179576789192026,6.45,LOW
1,0,1,0,0,1,1,926,15.69709760936765,16.47,LOW
1,0,0,0,2,3,1,1320,17.698551801327312,14.99,LOW
1,0,0,0,0,2,0,869,15.684367721276107,1.82,LOW
1,0,0,0,0,5,0,1200,18.458206561014595,0.0,LOW
1,0,0,0,0,5,0,803,15.43758856401718,7.96,LOW
1,0,0,0,1,2,0,630,14.887098397823568,0.0,LOW
1,0,0,0,0,3,0,1419,15.817001827662937,3.69,LOW
1,0,0,0,1,1,0,229,15.72600731307928,2.08,LOW
1,1,0,0,1,2,0,671,15.11150802601579,28.42,LOW
